P;PID;FLC;FLC3
0.997053;1.01036;1;1
0.997194;1.01035;1;1
0.997339;1.01034;1;1
0.997484;1.01033;1;1
0.997632;1.01032;1;1
0.99778;1.01031;1;1
0.99793;1.0103;1;1
0.99808;1.01029;1;1
0.99823;1.01028;1;1
0.99838;1.01027;1;1
0.998529;1.01026;1;1
0.998678;1.01025;1;1
0.998826;1.01024;1;1
0.998973;1.01023;1;1
0.999119;1.01022;1;1
0.999262;1.01021;1;1
0.999404;1.0102;1;1
0.999544;1.01018;1;1
0.999681;1.01017;1;1
0.999815;1.01016;1;1
0.999947;1.01015;1;1
1.00008;1.01014;1;1
1.0002;1.01013;1;1
1.00032;1.01012;1;1
1.00044;1.01011;1;1
1.00056;1.0101;1;1
1.00067;1.01009;1;1
1.00077;1.01008;1;1
1.00088;1.01007;1;1
1.00098;1.01006;1;1
