Date,Open,High,Low,Close,Adj Close,Volume
2016-08-31,39,39.400002,38.700001,39.200001,39.200001,71778
2016-09-01,38.799999,40.200001,38.799999,40.200001,40.200001,222282
2016-09-02,40.200001,41.799999,40.099998,41.5,41.5,610511
2016-09-05,41.5,41.799999,40.400002,40.799999,40.799999,288661
2016-09-06,41.400002,41.799999,41,41.200001,41.200001,387936
2016-09-07,41.700001,41.700001,41,41.299999,41.299999,277966
2016-09-08,41.599998,42.299999,40.599998,41.400002,41.400002,422104
2016-09-09,40.900002,42.099998,40.900002,41,41,194355
2016-09-12,40,40,38.799999,39.900002,39.900002,332651
2016-09-13,40,40.299999,38.400002,39,39,205546
2016-09-14,38.900002,40.099998,38.599998,39.200001,39.200001,168974
2016-09-15,38.900002,39.700001,38.400002,38.799999,38.799999,194686
2016-09-16,39,39,38.200001,38.400002,38.400002,160687
2016-09-19,38.5,38.799999,37.400002,37.599998,37.599998,274083
2016-09-20,37.599998,39.099998,37.200001,38.799999,38.799999,267859
2016-09-21,39.200001,39.200001,38.599998,38.700001,38.700001,56206
2016-09-22,39.099998,40.099998,38.299999,40,40,174258
2016-09-23,39.900002,40.400002,38.799999,39.299999,39.299999,197749
2016-09-26,39.299999,39.299999,38.5,38.700001,38.700001,88750
2016-09-27,38.599998,38.599998,37.200001,38,38,241712
2016-09-28,38.200001,38.5,38.099998,38.200001,38.200001,79402
2016-09-29,38.599998,38.599998,37.799999,38,38,102760
2016-09-30,37.799999,39.400002,37.599998,39,39,404266
2016-10-03,39.099998,39.400002,38.700001,38.799999,38.799999,236868
2016-10-04,38.599998,39.5,38.200001,39.5,39.5,228826
2016-10-05,39.099998,39.400002,38.799999,39.400002,39.400002,127579
2016-10-06,39.400002,39.700001,39.099998,39.400002,39.400002,110492
2016-10-07,39.099998,39.299999,39,39,39,118805
2016-10-10,39,39.400002,38.799999,39.099998,39.099998,190047
2016-10-11,39,39.200001,37.599998,38,38,226830
2016-10-12,38.5,38.5,37.5,37.900002,37.900002,168560
2016-10-13,37.700001,38.299999,37.400002,38,38,223030
2016-10-14,38.200001,39.299999,38.200001,38.799999,38.799999,479377
2016-10-17,38.900002,38.900002,36.400002,36.799999,36.799999,590761
2016-10-18,33.5,35.5,32.200001,34.5,34.5,1587948
2016-10-19,34.400002,34.5,32.599998,32.799999,32.799999,1195534
2016-10-20,33.099998,33.900002,32.900002,33.5,33.5,598623
2016-10-21,33.799999,34.5,33.299999,33.299999,33.299999,555984
2016-10-24,33.900002,34,33.400002,33.700001,33.700001,389539
2016-10-25,33.799999,33.900002,33,33.299999,33.299999,226816
2016-10-26,33.5,33.5,32.599998,33.299999,33.299999,283612
2016-10-27,33.299999,34.299999,33.099998,33.099998,33.099998,438804
2016-10-28,33.200001,33.200001,32.099998,32.299999,32.299999,336084
2016-10-31,33.200001,33.900002,32.799999,33,33,239225
